title,description,requirement,responsibilities,benefit,company,category,employment_type,experience_level,work_approach,ward,province,min_salary,max_salary,applied,view
Database Manager,"We are hiring a Database Manager to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using SQL Server. Our systems process billions of records and power core business operations.","- 12+ năm kinh nghiệm CNTT, trong đó 5+ năm quản lý team data/database.
- Kinh nghiệm xây dựng và vận hành data platform ở quy mô enterprise.
- Kỹ năng quản lý stakeholder, ngân sách và lộ trình kỹ thuật.
- Tư duy chiến lược về data governance, security và compliance.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance bonus up to 3 months, Stock options, Premium healthcare",ChainWorks,Information Technology,Internship,Manager,Remote,Bến Cát,Thành phố Hồ Chí Minh,4500,6200,6,871
Senior Database Developer,"ShopSphere is looking for a Senior Database Developer based in TP. Hồ Chí Minh to strengthen our data platform. You will work on Data Warehouse, focusing on dimensional modeling, ETL/ELT, dbt, Snowflake/BigQuery for production-grade systems.","- 5+ năm kinh nghiệm database engineering với Data Warehouse.
- Chuyên sâu về dimensional modeling, ETL/ELT, dbt, Snowflake/BigQuery.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",ShopSphere,Information Technology,Hybrid,Senior,Onsite,Hòa Lợi,Thành phố Hồ Chí Minh,3100,3800,22,821
Head of Database,"VietConnect Telecom is looking for a Head of Database based in TP. Hồ Chí Minh to strengthen our data platform. You will work on MongoDB, focusing on sharding, replica sets, aggregation framework, schema design for production-grade systems.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",VietConnect Telecom,Information Technology,Part-time,Director,Onsite,Tân Uyên,Thành phố Hồ Chí Minh,6900,9800,12,1085
Head of Database,"We are hiring a Head of Database to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using Oracle. Our systems process billions of records and power core business operations.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",ShopSphere,Information Technology,Full-time,Director,Remote,Tân Hiệp,Thành phố Hồ Chí Minh,6900,9000,53,546
Middle SQL Developer,"EduSmart is looking for a Middle SQL Developer based in TP. Hồ Chí Minh to strengthen our data platform. You will work on MongoDB, focusing on sharding, replica sets, aggregation framework, schema design for production-grade systems.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo sharding, replica sets, aggregation framework, schema design.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",EduSmart,Information Technology,Full-time,Middle,Remote,Dĩ An,Thành phố Hồ Chí Minh,1700,2500,68,648
Senior Database Administrator,"NextGen Software mở rộng team database và cần một Senior Database Administrator giàu kinh nghiệm về Database DevOps. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 5+ năm kinh nghiệm database engineering với Database DevOps.
- Chuyên sâu về Flyway/Liquibase, CI/CD, containerized DBs, monitoring.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Database DevOps.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",NextGen Software,Information Technology,Contract,Senior,Remote,Đông Hòa,Thành phố Hồ Chí Minh,2700,4000,48,859
Lead Data Engineer (Vietnam),"We are hiring a Lead Data Engineer (Vietnam) to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using PostgreSQL. Our systems process billions of records and power core business operations.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu PostgreSQL và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",FinCore Tech,Information Technology,Contract,Lead,Onsite,Lái Thiêu,Thành phố Hồ Chí Minh,3800,5300,16,135
Database Developer (Middle),"FinCore Tech đang tìm kiếm một Database Developer (Middle) để gia nhập đội ngũ kỹ thuật tại TP. Hồ Chí Minh. Bạn sẽ làm việc với Oracle và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo PL/SQL, RAC, Data Guard, performance tuning, RMAN.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance bonus up to 3 months, Stock options, Premium healthcare",FinCore Tech,Information Technology,Part-time,Middle,Remote,Vũng Tàu,Thành phố Hồ Chí Minh,1700,2500,19,1334
Director of Database Engineering (Vietnam),"ChainWorks is looking for a Director of Database Engineering (Vietnam) based in TP. Hồ Chí Minh to strengthen our data platform. You will work on MySQL, focusing on schema design, performance tuning, backup/recovery, replication for production-grade systems.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MySQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",ChainWorks,Information Technology,Full-time,Director,Remote,Tam Thắng,Thành phố Hồ Chí Minh,6300,9200,50,998
Director of Data Engineering,"We are hiring a Director of Data Engineering to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using Data Warehouse. Our systems process billions of records and power core business operations.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",MediTech Global,Information Technology,Contract,Director,Onsite,Bà Rịa,Thành phố Hồ Chí Minh,6200,9800,33,292
Senior Database Developer,"ShopSphere is looking for a Senior Database Developer based in TP. Hồ Chí Minh to strengthen our data platform. You will work on PostgreSQL, focusing on advanced SQL, indexing, query optimization, replication, partitioning for production-grade systems.","- 5+ năm kinh nghiệm database engineering với PostgreSQL.
- Chuyên sâu về advanced SQL, indexing, query optimization, replication, partitioning.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Remote-friendly, Flexible hours, Meal allowance 1.5M VND",ShopSphere,Information Technology,Full-time,Senior,Onsite,Phú Mỹ,Thành phố Hồ Chí Minh,2800,3900,66,650
Senior NoSQL Engineer - Hybrid,"We are hiring a Senior NoSQL Engineer - Hybrid to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using Big Data. Our systems process billions of records and power core business operations.","- 5+ năm kinh nghiệm database engineering với Big Data.
- Chuyên sâu về Spark, Hadoop, Kafka, Airflow, data lake architectures.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Big Data.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",ChainWorks,Information Technology,Contract,Senior,Remote,Phú Mỹ,Thành phố Hồ Chí Minh,2800,4100,47,1476
Head of Database,"We are hiring a Head of Database to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using Data Warehouse. Our systems process billions of records and power core business operations.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",ChainWorks,Information Technology,Full-time,Director,Onsite,Phú Mỹ,Thành phố Hồ Chí Minh,6300,9200,3,416
Manager - Database Operations,"Join EduSmart as a Manager - Database Operations working on Data Warehouse-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 12+ năm kinh nghiệm CNTT, trong đó 5+ năm quản lý team data/database.
- Kinh nghiệm xây dựng và vận hành data platform ở quy mô enterprise.
- Kỹ năng quản lý stakeholder, ngân sách và lộ trình kỹ thuật.
- Tư duy chiến lược về data governance, security và compliance.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",EduSmart,Information Technology,Remote,Manager,Onsite,Phú Mỹ,Thành phố Hồ Chí Minh,4500,5700,38,375
Middle Data Engineer,"ChainWorks is looking for a Middle Data Engineer based in TP. Hồ Chí Minh to strengthen our data platform. You will work on Data Warehouse, focusing on dimensional modeling, ETL/ELT, dbt, Snowflake/BigQuery for production-grade systems.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo dimensional modeling, ETL/ELT, dbt, Snowflake/BigQuery.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",ChainWorks,Information Technology,Full-time,Middle,Onsite,Tân Hải,Thành phố Hồ Chí Minh,1700,2200,30,1233
Middle NoSQL Engineer,"Join FinCore Tech as a Middle NoSQL Engineer working on SQL Server-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo T-SQL, stored procedures, Always On, SSIS/SSRS.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",FinCore Tech,Information Technology,Full-time,Middle,Onsite,Tân Hải,Thành phố Hồ Chí Minh,1800,2700,11,102
Junior Database Developer,"FinCore Tech is looking for a Junior Database Developer based in TP. Hồ Chí Minh to strengthen our data platform. You will work on PostgreSQL, focusing on advanced SQL, indexing, query optimization, replication, partitioning for production-grade systems.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",FinCore Tech,Information Technology,Full-time,Junior,Onsite,Tân Định,Thành phố Hồ Chí Minh,1100,1700,78,702
Senior Data Engineer (Vietnam),"Join CodeBridge Solutions as a Senior Data Engineer (Vietnam) working on Oracle-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 5+ năm kinh nghiệm database engineering với Oracle.
- Chuyên sâu về PL/SQL, RAC, Data Guard, performance tuning, RMAN.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",CodeBridge Solutions,Information Technology,Full-time,Senior,Onsite,Sài Gòn,Thành phố Hồ Chí Minh,3100,4200,46,834
Senior Data Engineer,"Join ShopSphere as a Senior Data Engineer working on Redis-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 5+ năm kinh nghiệm database engineering với Redis.
- Chuyên sâu về cluster, persistence, pub/sub, caching strategies.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Redis.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",ShopSphere,Information Technology,Hybrid,Senior,Remote,Bến Thành,Thành phố Hồ Chí Minh,2900,4300,21,481
Senior PostgreSQL DBA,"Join EduSmart as a Senior PostgreSQL DBA working on Redis-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 5+ năm kinh nghiệm database engineering với Redis.
- Chuyên sâu về cluster, persistence, pub/sub, caching strategies.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Redis.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Hybrid working, 14 days annual leave, Free snacks & coffee",EduSmart,Information Technology,Hybrid,Senior,Remote,Cầu Ông Lãnh,Thành phố Hồ Chí Minh,3100,4400,0,972
Lead Data Engineer,"ShopSphere is looking for a Lead Data Engineer based in TP. Hồ Chí Minh to strengthen our data platform. You will work on Cloud Database, focusing on AWS RDS/Aurora, Azure SQL, GCP Cloud SQL, IaC for production-grade systems.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu Cloud Database và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Cloud Database.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",ShopSphere,Information Technology,Full-time,Lead,Remote,Trung Mỹ Tây,Thành phố Hồ Chí Minh,3700,5200,20,1221
Junior Database Administrator,"Join FinCore Tech as a Junior Database Administrator working on SQL Server-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Hybrid working, 14 days annual leave, Free snacks & coffee",FinCore Tech,Information Technology,Remote,Junior,Onsite,Long Bình,Thành phố Hồ Chí Minh,900,1200,61,1412
Junior SQL Developer,"We are hiring a Junior SQL Developer to join our database engineering team in TP. Hồ Chí Minh. You will design, build, and operate scalable data platforms using Oracle. Our systems process billions of records and power core business operations.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",VietConnect Telecom,Information Technology,Contract,Junior,Remote,Tăng Nhơn Phú,Thành phố Hồ Chí Minh,800,1800,63,1143
